F,S11,S21,S31,S41,S12,S22,S32,S42,S13,S23,S33,S43,S14,S24,S34,S44,S11',S21',S31',S41',S12',S22',S32',S42',S13',S23',S33',S43',S14',S24',S34',S44'
16.34,-31.669816,-0.049908294,-34.880767,-41.405916,-0.049906668,-31.682692,-41.405908,-34.879048,-34.880768,-41.405918,-31.669817,-0.049908287,-41.405906,-34.879049,-0.049906668,-31.682693,-31.669816,-0.049908294,-34.880767,-41.405916,-0.049906668,-31.682692,-41.405908,-34.879048,-34.880768,-41.405918,-31.669817,-0.049908287,-41.405906,-34.879049,-0.049906668,-31.682693
16.359999,-31.660063,-0.049983119,-34.870386,-41.395678,-0.049980976,-31.672956,-41.395669,-34.868664,-34.870387,-41.395679,-31.660065,-0.049983119,-41.395668,-34.868665,-0.049981493,-31.672958,-31.660063,-0.049983119,-34.870386,-41.395678,-0.049980976,-31.672956,-41.395669,-34.868664,-34.870387,-41.395679,-31.660065,-0.049983119,-41.395668,-34.868665,-0.049981493,-31.672958
16.379999,-31.650335,-0.050058869,-34.860019,-41.385455,-0.050056733,-31.663244,-41.385447,-34.858296,-34.86002,-41.385457,-31.650336,-0.050058869,-41.385445,-34.858297,-0.050057243,-31.663246,-31.650335,-0.050058869,-34.860019,-41.385455,-0.050056733,-31.663244,-41.385447,-34.858296,-34.86002,-41.385457,-31.650336,-0.050058869,-41.385445,-34.858297,-0.050057243,-31.663246
16.4,-31.64063,-0.050134509,-34.849668,-41.375251,-0.05013289,-31.653557,-41.375241,-34.847942,-34.849669,-41.375253,-31.640631,-0.050134501,-41.375239,-34.847942,-0.05013289,-31.653558,-31.64063,-0.050134509,-34.849668,-41.375251,-0.05013289,-31.653557,-41.375241,-34.847942,-34.849669,-41.375253,-31.640631,-0.050134501,-41.375239,-34.847942,-0.05013289,-31.653558
16.42,-31.63095,-0.050210549,-34.839331,-41.365062,-0.050208922,-31.643893,-41.365052,-34.837603,-34.839332,-41.365064,-31.630951,-0.050210549,-41.365051,-34.837604,-0.050208922,-31.643894,-31.63095,-0.050210549,-34.839331,-41.365062,-0.050208922,-31.643893,-41.365052,-34.837603,-34.839332,-41.365064,-31.630951,-0.050210549,-41.365051,-34.837604,-0.050208922,-31.643894
16.440001,-31.621293,-0.050286486,-34.82901,-41.35489,-0.050284867,-31.634253,-41.35488,-34.827279,-34.829011,-41.354892,-31.621293,-0.050286479,-41.354879,-34.827279,-0.050284859,-31.634254,-31.621293,-0.050286486,-34.82901,-41.35489,-0.050284867,-31.634253,-41.35488,-34.827279,-34.829011,-41.354892,-31.621293,-0.050286479,-41.354879,-34.827279,-0.050284859,-31.634254
16.459999,-31.61166,-0.050363341,-34.818703,-41.344735,-0.050361197,-31.624636,-41.344726,-34.81697,-34.818704,-41.344737,-31.61166,-0.050363334,-41.344724,-34.81697,-0.050361197,-31.624637,-31.61166,-0.050363341,-34.818703,-41.344735,-0.050361197,-31.624636,-41.344726,-34.81697,-34.818704,-41.344737,-31.61166,-0.050363334,-41.344724,-34.81697,-0.050361197,-31.624637
16.48,-31.60205,-0.050439052,-34.808411,-41.334598,-0.050437425,-31.615044,-41.334588,-34.806676,-34.808412,-41.3346,-31.602051,-0.050439045,-41.334587,-34.806676,-0.050437425,-31.615046,-31.60205,-0.050439052,-34.808411,-41.334598,-0.050437425,-31.615044,-41.334588,-34.806676,-34.808412,-41.3346,-31.602051,-0.050439045,-41.334587,-34.806676,-0.050437425,-31.615046
16.5,-31.592464,-0.050515696,-34.798134,-41.324476,-0.050513552,-31.605476,-41.324467,-34.796396,-34.798135,-41.324477,-31.592466,-0.050515689,-41.324465,-34.796397,-0.050514077,-31.605478,-31.592464,-0.050515696,-34.798134,-41.324476,-0.050513552,-31.605476,-41.324467,-34.796396,-34.798135,-41.324477,-31.592466,-0.050515689,-41.324465,-34.796397,-0.050514077,-31.605478
16.519999,-31.582904,-0.050592216,-34.787871,-41.31437,-0.050590604,-31.595932,-41.314362,-34.786131,-34.787872,-41.314372,-31.582905,-0.050592209,-41.314359,-34.786132,-0.050590604,-31.595934,-31.582904,-0.050592216,-34.787871,-41.31437,-0.050590604,-31.595932,-41.314362,-34.786131,-34.787872,-41.314372,-31.582905,-0.050592209,-41.314359,-34.786132,-0.050590604,-31.595934
